,date,location,total_cases
76,2020-03-27,Spain,75641.0
77,2020-03-28,Argentina,690.0
78,2020-03-28,Spain,83885.0
79,2020-03-29,Argentina,745.0
80,2020-03-29,Spain,90309.0
81,2020-03-30,Argentina,820.0
82,2020-03-30,Spain,96122.0
83,2020-03-31,Argentina,966.0
84,2020-03-31,Spain,104267.0
85,2020-04-01,Argentina,966.0
86,2020-04-01,Spain,111680.0
87,2020-04-02,Argentina,1133.0
88,2020-04-02,Spain,119263.0
89,2020-04-03,Argentina,1133.0
90,2020-04-03,Spain,126535.0
91,2020-04-04,Argentina,1265.0
92,2020-04-04,Spain,133198.0
93,2020-04-05,Argentina,1451.0
94,2020-04-05,Spain,138731.0
95,2020-04-06,Argentina,1554.0
96,2020-04-06,Spain,142398.0
97,2020-04-07,Argentina,1628.0
98,2020-04-07,Spain,147607.0
99,2020-04-08,Argentina,1715.0
100,2020-04-08,Spain,153190.0
101,2020-04-09,Argentina,1795.0
102,2020-04-09,Spain,158935.0
103,2020-04-10,Argentina,1894.0
104,2020-04-10,Spain,163472.0
105,2020-04-11,Argentina,1975.0
106,2020-04-11,Spain,168022.0
107,2020-04-12,Argentina,2137.0
108,2020-04-12,Spain,171921.0
109,2020-04-13,Argentina,2203.0
110,2020-04-13,Spain,174951.0
111,2020-04-14,Argentina,2272.0
112,2020-04-14,Spain,178067.0
113,2020-04-15,Argentina,2432.0
114,2020-04-15,Spain,182491.0
115,2020-04-16,Argentina,2432.0
116,2020-04-16,Spain,186311.0
117,2020-04-17,Argentina,2560.0
118,2020-04-17,Spain,190129.0
119,2020-04-18,Argentina,2658.0
120,2020-04-18,Spain,193965.0
121,2020-04-19,Argentina,2828.0
122,2020-04-19,Spain,193252.0
123,2020-04-20,Argentina,2930.0
124,2020-04-20,Spain,195470.0
125,2020-04-21,Argentina,3020.0
126,2020-04-21,Spain,198421.0
127,2020-04-22,Argentina,3132.0
128,2020-04-22,Spain,200733.0
129,2020-04-23,Argentina,3276.0
130,2020-04-23,Spain,203649.0
131,2020-04-24,Argentina,3423.0
132,2020-04-24,Spain,205763.0
133,2020-04-25,Argentina,3423.0
134,2020-04-25,Spain,208269.0
135,2020-04-26,Argentina,3767.0
136,2020-04-26,Spain,209910.0
137,2020-04-27,Argentina,3767.0
138,2020-04-27,Spain,211570.0
139,2020-04-28,Argentina,3990.0
140,2020-04-28,Spain,213095.0
141,2020-04-29,Argentina,4114.0
142,2020-04-29,Spain,213942.0
143,2020-04-30,Argentina,4272.0
144,2020-04-30,Spain,215183.0
145,2020-05-01,Argentina,4415.0
146,2020-05-01,Spain,216570.0
147,2020-05-02,Argentina,4519.0
148,2020-05-02,Spain,217804.0
149,2020-05-03,Argentina,4668.0
150,2020-05-03,Spain,218739.0
151,2020-05-04,Argentina,4770.0
152,2020-05-04,Spain,219205.0
153,2020-05-05,Argentina,4874.0
154,2020-05-05,Spain,220244.0
155,2020-05-06,Argentina,5007.0
156,2020-05-06,Spain,221124.0
157,2020-05-07,Argentina,5195.0
158,2020-05-07,Spain,222045.0
159,2020-05-08,Argentina,5358.0
